ts_code,trade_date,close,pe_ttm,bias60,BR26,variance20,close_SPX
000905.SH,20160401,6124.5278,47.03,3.58211325,116.7709403,30.08476045,2072.78
000905.SH,20160405,6286.5826,48.34,6.532141442,128.5223528,32.42522587,2045.17
000905.SH,20160406,6323.4342,48.61,7.328291704,160.7323329,32.51460121,2066.66
000905.SH,20160407,6228.9737,47.95,5.975818037,148.6248543,35.98531604,2041.91
000905.SH,20160408,6168.7419,47.47,5.038489503,117.5121753,32.86070355,2047.6
000905.SH,20160411,6304.3004,48.93,7.427853012,125.2273726,33.12851548,2041.99
000905.SH,20160412,6252.7729,49,6.512257694,133.6535821,32.13631301,2061.72
000905.SH,20160413,6344.2255,49.7,8.006451798,131.9607428,31.51871397,2082.42
000905.SH,20160414,6401.8545,50.49,8.839990874,155.2532549,27.82757724,2082.78
000905.SH,20160415,6384.3496,50.81,8.462622048,177.4846968,24.67060126,2080.73
000905.SH,20160418,6281.2024,50.86,6.593311954,164.6924859,20.91628808,2094.34
000905.SH,20160419,6308.229,51.05,6.952339068,177.3609463,20.00056854,2100.8
000905.SH,20160420,6022.2126,48.52,2.153579323,115.2033658,37.56651729,2102.4
000905.SH,20160421,5970.682,48.02,1.327551253,120.0093946,36.58878483,2091.48
000905.SH,20160422,6011.3201,48.12,1.981320431,123.6262066,37.93292956,2091.58
000905.SH,20160425,5978.0772,47.66,1.418085257,101.0905268,36.7609531,2087.79
000905.SH,20160426,6046.7734,47.98,2.581936362,89.54635469,37.11165909,2091.7
000905.SH,20160427,6016.699,47.77,1.948534063,78.6358695,35.0774055,2095.15
000905.SH,20160428,5990.3285,47.16,1.36540538,75.71378922,30.28879927,2075.81
000905.SH,20160429,5985.594,46.35,1.081643401,75.13455008,30.45270712,2065.3
000905.SH,20160503,6167.4537,47.94,3.948485868,88.84066486,36.44127448,2063.37
000905.SH,20160504,6169.7826,47.98,3.763211582,87.39996191,32.44792742,2051.12
000905.SH,20160505,6203.8166,48.25,4.155407524,85.51446374,32.12587575,2050.63
000905.SH,20160506,5961.489,46.38,-0.011304622,82.81518289,40.91605393,2057.14
000905.SH,20160509,5743.6473,44.77,-3.671008444,58.09507891,45.66585271,2058.69
000905.SH,20160510,5738.8961,44.77,-3.770785474,54.56829271,44.09351886,2084.39
000905.SH,20160511,5723.4104,44.67,-4.045296251,60.25143927,44.13493639,2064.46
000905.SH,20160512,5726.4555,44.73,-3.946985973,48.55619985,45.32647618,2064.11
000905.SH,20160513,5714.3107,44.64,-4.081756078,49.158378,45.05805596,2046.61
000905.SH,20160516,5812.5423,45.38,-2.393395926,53.2578344,49.05840599,2066.66
000905.SH,20160517,5790.3416,45.19,-2.714691498,59.03957249,48.67550316,2047.21
000905.SH,20160518,5631.1927,43.95,-5.263246688,42.92455238,50.6956179,2047.63
000905.SH,20160519,5666.7331,44.39,-4.557276518,49.03464581,34.70955463,2040.04
000905.SH,20160520,5732.9018,44.93,-3.340218604,42.47236728,37.18194835,2052.32
000905.SH,20160523,5809.4761,45.5,-2.099596608,44.07265389,36.63414638,2048.04
000905.SH,20160524,5743.1782,44.96,-3.242449252,42.17285801,37.30343379,2076.06
000905.SH,20160525,5715.1834,44.81,-3.812601711,48.31524782,37.07608026,2090.54
000905.SH,20160526,5744.3876,44.96,-3.394459451,45.30874415,37.24237772,2090.1
000905.SH,20160527,5739.5897,45.01,-3.471479171,53.18025316,37.15022146,2099.06
000905.SH,20160530,5711.3152,44.77,-3.929318381,50.71350603,37.06980428,2099.06
000905.SH,20160531,5947.3224,46.6,-0.050695879,62.28682105,41.64847411,2096.96
000905.SH,20160601,5973.7799,46.79,0.331770936,70.50301485,41.59520381,2099.33
000905.SH,20160602,6013.8942,47.09,0.93499179,69.03586524,41.75877794,2105.26
000905.SH,20160603,6032.603,47.25,1.131433233,70.25835677,29.24319849,2099.13
000905.SH,20160606,6051.8595,47.4,1.304262369,75.91490781,22.1320681,2109.41
000905.SH,20160607,6045.3571,47.36,1.04421076,74.13089929,22.24586181,2112.13
000905.SH,20160608,6023.8776,47.21,0.591800791,62.66045527,21.46391256,2119.12
000905.SH,20160613,5746.4438,45.34,-4.069495652,51.25669871,30.20269758,2079.06
000905.SH,20160614,5762.7612,45.49,-3.850586984,50.80557288,30.34474537,2075.32
000905.SH,20160615,5952.846,46.95,-0.736199084,65.48767719,39.47753583,2071.5
000905.SH,20160616,5930.5454,46.81,-1.102917375,78.17273192,39.32890935,2077.99
000905.SH,20160617,5964.2724,47.05,-0.503100345,82.84768931,35.38477549,2071.22
000905.SH,20160620,5985.5691,47.21,-0.122854423,79.75975043,35.36353912,2083.25
000905.SH,20160621,5916.8032,46.7,-1.214764809,87.13501394,36.72397036,2088.9
000905.SH,20160622,6008.8857,47.45,0.325280816,91.17943006,38.0082987,2085.45
000905.SH,20160623,5978.1737,47.24,-0.159915325,83.82818257,37.12556511,2113.32
000905.SH,20160624,5903.6202,46.68,-1.368184495,74.80022429,37.01291775,2037.41
000905.SH,20160627,6044.2191,47.77,0.946410779,95.70511216,41.7695168,2000.54
000905.SH,20160628,6107.5105,48.26,2.011977081,91.97976899,42.37754523,2036.09
000905.SH,20160629,6120.2021,48.33,2.234096205,93.60367501,42.57898948,2070.77
000905.SH,20160630,6123.4939,48.37,2.289378071,87.25280311,34.3382156,2098.86
000905.SH,20160701,6111.5385,48.27,2.139446231,95.13468216,34.63600716,2102.95
000905.SH,20160704,6231.8811,49.2,4.177245704,100.8935781,37.69107916,2102.95
000905.SH,20160705,6269.5046,49.51,4.794357184,110.0935703,37.68580429,2088.55
000905.SH,20160706,6297.3969,49.74,5.22286222,109.2208759,37.67912503,2099.73
000905.SH,20160707,6319.7926,49.98,5.59251517,114.1729638,37.53229332,2097.9
000905.SH,20160708,6299.8533,49.86,5.245566646,94.17057443,37.45259491,2129.9
000905.SH,20160711,6312.4988,49.98,5.466139461,95.91719709,27.14624742,2137.16
000905.SH,20160712,6395.1448,50.63,6.848944704,95.83506574,27.52245036,2152.14
000905.SH,20160713,6446.5634,51.04,7.689381134,98.04580422,17.46786911,2152.43
000905.SH,20160714,6455.5827,51.03,7.787716772,95.57868025,17.14384785,2163.75
000905.SH,20160715,6441.0159,50.89,7.504772352,96.21707827,17.51821857,2161.74
000905.SH,20160718,6412.0731,50.68,6.905758295,97.04931899,17.80100582,2166.89
000905.SH,20160719,6431.9383,50.79,7.099690313,119.1113939,14.27137714,2163.78
000905.SH,20160720,6417.9223,50.66,6.745854155,120.0736017,13.27105272,2173.02
000905.SH,20160721,6442.7093,50.64,7.020281315,113.7235097,12.85871713,2165.17
000905.SH,20160722,6390.9254,50.24,6.05904358,110.5030187,12.20333507,2175.03
000905.SH,20160725,6408.7831,50.33,6.240183878,108.2014062,7.394040271,2168.48
000905.SH,20160726,6494.4743,50.98,7.510959391,118.9946684,7.150644778,2169.18
000905.SH,20160727,6229.2885,48.92,3.051727119,93.85991887,21.01649985,2166.58
000905.SH,20160728,6243.2883,48.97,3.261736193,86.39487522,21.02483155,2170.06
000905.SH,20160729,6202.8923,48.77,2.58423802,88.03713957,21.22390077,2173.6
000905.SH,20160801,6109.2782,47.94,1.062370855,88.59176338,18.03197489,2170.84
000905.SH,20160802,6168.5088,48.17,1.983980257,84.23531516,18.80873271,2157.03
000905.SH,20160803,6198.3885,48.41,2.349733178,82.03751866,18.7702979,2163.79
000905.SH,20160804,6238.2309,48.71,2.866265018,81.70459656,18.98092847,2164.25
000905.SH,20160805,6203.2872,48.49,2.155329629,80.56017091,19.10709779,2182.87
000905.SH,20160808,6290.7562,49.12,3.43556127,82.76766266,20.81712462,2180.89
000905.SH,20160809,6341.5497,49.45,4.091809124,78.22158598,20.18017046,2181.74
000905.SH,20160810,6318.2681,49.13,3.566373014,75.39736755,20.08114847,2175.49
000905.SH,20160811,6226.3129,48.2,1.937670218,70.27306828,21.0456031,2185.79
000905.SH,20160812,6299.0915,48.61,2.941597837,73.35563879,22.23264821,2184.05
000905.SH,20160815,6442.5272,49.6,5.063662077,85.51892218,25.05050475,2190.15
000905.SH,20160816,6468.8946,49.59,5.283048196,82.24219564,25.02105761,2178.15
000905.SH,20160817,6488.3648,49.64,5.405824479,80.42279095,25.005923,2182.22
000905.SH,20160818,6490.408,49.34,5.226126702,77.49587441,24.9465171,2187.02
000905.SH,20160819,6499.5548,49.03,5.151556834,78.47383961,24.40367467,2183.87
000905.SH,20160822,6420.3544,48.67,3.681255409,76.16221878,25.65690375,2182.64
000905.SH,20160823,6428.6978,48.51,3.623798926,78.50012113,24.60980477,2186.9
000905.SH,20160824,6435.0586,48.38,3.525041493,82.59229927,11.11055801,2175.44
000905.SH,20160825,6382.5704,47.7,2.560938418,72.61756099,11.26663449,2172.47
000905.SH,20160826,6410.7335,48.01,2.893080337,74.67434204,10.77593282,2169.04
000905.SH,20160829,6427.5291,48.28,3.048630374,79.28383995,9.328397881,2180.38
000905.SH,20160830,6425.7543,47.77,2.912064336,78.05592278,8.96940778,2176.12
000905.SH,20160831,6434.2103,47.47,2.94242952,70.60151397,8.834078329,2170.95
000905.SH,20160901,6381.4755,47.09,2.007286817,88.92946048,9.41302657,2170.86
000905.SH,20160902,6356.9538,46.91,1.525219787,88.47169634,9.248283801,2179.98
000905.SH,20160905,6391.7923,47.17,1.906562997,100.4192438,7.818726504,2179.98
000905.SH,20160906,6492.9722,47.91,3.319235375,128.4180396,8.801758568,2186.48
000905.SH,20160907,6494.3159,47.94,3.192430494,125.763614,8.666995142,2186.16
000905.SH,20160908,6517.9835,48.12,3.407629419,126.2468205,7.199205543,2181.3
000905.SH,20160909,6471.053,47.79,2.525692865,119.8651988,6.986473318,2127.81
000905.SH,20160912,6291.6364,46.52,-0.397437061,91.78934332,5.143067116,2159.04
000905.SH,20160913,6320.0315,46.71,-0.05424945,91.91316177,5.077597931,2127.02
000905.SH,20160914,6278.158,46.43,-0.786855403,82.19404178,4.944337962,2125.77
000905.SH,20160919,6344.181,46.92,0.15994606,90.02437997,5.440690909,2139.12
000905.SH,20160920,6342.0328,46.92,0.010659969,96.98127993,5.402069602,2139.76
000905.SH,20160921,6343.7541,46.95,-0.040889074,92.75576982,4.338765401,2163.12
000905.SH,20160922,6385.6353,47.32,0.54559767,87.27729743,4.316353769,2177.18
000905.SH,20160923,6370.5834,47.22,0.242730439,81.88035254,4.448527163,2164.69
000905.SH,20160926,6241.5157,46.32,-1.818571082,69.36699185,6.959514017,2146.1
000905.SH,20160927,6286.9093,46.65,-1.149961167,68.73883839,7.565106153,2159.93
000905.SH,20160928,6281.2838,46.61,-1.251195888,68.7576659,7.523746084,2171.37
000905.SH,20160929,6298.7911,46.74,-0.983559693,79.36962287,7.55989724,2151.13
000905.SH,20160930,6328.0856,46.98,-0.531050433,83.52516337,7.79709012,2168.27
000905.SH,20161010,6447.6934,47.8,1.315074693,96.63906785,8.483461208,2163.66
000905.SH,20161011,6486.4254,48.14,1.873908506,123.8157345,8.570583084,2136.73
000905.SH,20161012,6482.7379,48.23,1.770642574,105.1667882,8.568380702,2139.18
000905.SH,20161013,6484.831,48.11,1.77961798,103.0789897,6.996771668,2132.55
000905.SH,20161014,6469.4915,48,1.532774515,92.01823887,7.006243191,2132.98
000905.SH,20161017,6413.1487,47.53,0.65969821,87.95960689,7.550518153,2126.5
000905.SH,20161018,6509.2821,48.28,2.15034955,104.3430589,8.841037212,2139.6
000905.SH,20161019,6495.2574,48.05,1.908087499,108.2073742,7.965513913,2144.29
000905.SH,20161020,6498.2375,47.91,1.937171462,96.79949272,7.947380011,2141.34
000905.SH,20161021,6475.2807,47.6,1.561820075,82.19730716,8.05875886,2141.16
000905.SH,20161024,6539.4661,47.46,2.54260255,87.21675421,8.175484195,2151.33
000905.SH,20161025,6563.3539,46.77,2.87082039,88.65322013,8.189195622,2143.16
000905.SH,20161026,6530.3898,46.24,2.321652849,85.23180099,8.412376246,2139.43
000905.SH,20161027,6517.3594,45.65,2.111383098,117.0358228,8.431836329,2133.04
000905.SH,20161028,6455.8349,44.13,1.087641086,103.93561,8.877758677,2126.41
000905.SH,20161031,6452.2058,43.37,0.975761734,106.6346518,5.930408705,2126.15
000905.SH,20161101,6507.95,43.74,1.767173253,102.7344059,5.808091451,2111.72
