ts_code,trade_date,close,pe_ttm,bias60,BR26,variance20,close_SPX
000016.SH,20160401,2167.7824,9.38,4.383345947,117.5546405,16.53106111,2072.78
000016.SH,20160405,2180.2624,9.42,5.060335117,111.1433074,16.54996326,2045.17
000016.SH,20160406,2168.0372,9.38,4.572082968,119.6899915,16.57074924,2066.66
000016.SH,20160407,2139.4042,9.27,3.339084437,109.2418128,17.26619157,2041.91
000016.SH,20160408,2123.8041,9.2,2.632474642,89.02736491,15.61611989,2047.6
000016.SH,20160411,2148.4394,9.31,3.882520263,99.47638112,14.72616776,2041.99
000016.SH,20160412,2143.8961,9.29,3.643076894,85.72666331,14.77208018,2061.72
000016.SH,20160413,2171.315,9.42,4.934823229,100.9021747,14.27810434,2082.42
000016.SH,20160414,2178.8677,9.44,5.237643866,118.523532,10.83308609,2082.78
000016.SH,20160415,2182.0667,9.43,5.349758146,139.9367296,10.80844661,2080.73
000016.SH,20160418,2158.2302,9.32,4.125789579,148.4198887,10.90643576,2094.34
000016.SH,20160419,2163.607,9.32,4.306079392,158.9487577,8.87716233,2100.8
000016.SH,20160420,2154.8859,9.28,3.863682953,120.7070043,8.94255685,2102.4
000016.SH,20160421,2147.7184,9.24,3.469179154,117.6291959,9.066432198,2091.48
000016.SH,20160422,2157.7235,9.26,3.853835633,111.5843709,9.053358041,2091.58
000016.SH,20160425,2148.2801,9.22,3.327765988,104.8314167,8.834270893,2087.79
000016.SH,20160426,2155.7914,9.25,3.614000719,98.33804102,7.525973778,2091.7
000016.SH,20160427,2145.3804,9.2,2.953813846,76.57298198,7.025439446,2095.15
000016.SH,20160428,2142.0569,9.23,2.639504397,80.52155584,5.569104659,2075.81
000016.SH,20160429,2135.5087,9.35,2.144004197,79.63104249,5.417302173,2065.3
000016.SH,20160503,2158.2717,9.46,3.080544656,98.75235534,5.949468907,2063.37
000016.SH,20160504,2152.9337,9.43,2.649218327,92.07634571,4.73417625,2051.12
000016.SH,20160505,2152.8822,9.43,2.497494042,94.05657784,4.753541457,2050.63
000016.SH,20160506,2107.0089,9.24,0.190551289,85.72746645,6.041833223,2057.14
000016.SH,20160509,2072.467,9.07,-1.528612905,61.1409367,7.200154743,2058.69
000016.SH,20160510,2072.3818,9.07,-1.614563548,60.39748001,7.300612434,2084.39
000016.SH,20160511,2078.4126,9.1,-1.429751974,65.63459716,7.299861984,2064.46
000016.SH,20160512,2084.8384,9.11,-1.190559004,63.44763413,7.495589195,2064.11
000016.SH,20160513,2076.1879,9.09,-1.648512063,67.15821334,7.491196918,2046.61
000016.SH,20160516,2082.6159,9.12,-1.401104651,69.62394349,7.84647719,2066.66
000016.SH,20160517,2075.4651,9.11,-1.794946259,73.79912856,7.819645405,2047.21
000016.SH,20160518,2078.7593,9.1,-1.658382179,58.28939113,7.975340747,2047.63
000016.SH,20160519,2073.8041,9.08,-1.927043788,59.41776599,7.76531159,2040.04
000016.SH,20160520,2083.1174,9.12,-1.518996397,46.41602827,8.008786089,2052.32
000016.SH,20160523,2082.4118,9.13,-1.668424765,44.67226372,7.324489746,2048.04
000016.SH,20160524,2066.6428,9.08,-2.498402092,40.20017402,7.602347238,2076.06
000016.SH,20160525,2071.9071,9.1,-2.347783474,50.15767032,7.506595706,2090.54
000016.SH,20160526,2076.1366,9.12,-2.227503683,48.42123217,7.385853974,2090.1
000016.SH,20160527,2074.9195,9.11,-2.308984173,56.18016476,7.319372489,2099.06
000016.SH,20160530,2092.1606,9.18,-1.52729081,59.29265233,7.680848366,2099.06
000016.SH,20160531,2155.6557,9.43,1.434696939,76.84351385,12.98270193,2096.96
000016.SH,20160601,2138.9632,9.37,0.624536294,80.50847101,13.51737382,2099.33
000016.SH,20160602,2137.6519,9.36,0.545115309,77.31362252,13.52153239,2105.26
000016.SH,20160603,2152.6368,9.42,1.217626304,84.60943743,9.908880266,2099.13
000016.SH,20160606,2136.3228,9.37,0.391632446,79.21777444,8.642075632,2109.41
000016.SH,20160607,2139.069,9.38,0.466905233,82.29310297,8.668445891,2112.13
000016.SH,20160608,2132.963,9.36,0.137358477,70.13250969,8.753035347,2119.12
000016.SH,20160613,2084.3001,9.27,-2.134367349,59.62176022,10.11068438,2079.06
000016.SH,20160614,2095.0228,9.32,-1.599244052,63.11339196,10.28808886,2075.32
000016.SH,20160615,2106.6312,9.36,-1.034759454,73.15534333,11.55458027,2071.5
000016.SH,20160616,2094.8146,9.3,-1.554143213,80.93532662,11.42743786,2077.99
000016.SH,20160617,2102.2006,9.32,-1.13642918,86.07283366,11.3763522,2071.22
000016.SH,20160620,2104.2202,9.34,-0.987873787,81.98896045,11.49569488,2083.25
000016.SH,20160621,2104.5582,9.34,-0.917012991,92.35397062,11.31316421,2088.9
000016.SH,20160622,2115.7685,9.39,-0.372171061,96.78815373,11.51868546,2085.45
000016.SH,20160623,2105.5324,9.36,-0.820178594,92.27447633,11.3161075,2113.32
000016.SH,20160624,2076.2999,9.23,-2.161260283,83.23765352,12.27974797,2037.41
000016.SH,20160627,2095.893,9.3,-1.229492091,91.70853815,13.0416858,2000.54
000016.SH,20160628,2102.0531,9.32,-0.896010465,92.20348207,13.13888592,2036.09
000016.SH,20160629,2122.9696,9.41,0.116534942,99.6613273,13.2054751,2070.77
000016.SH,20160630,2122.633,9.42,0.136196114,99.19577858,7.497725582,2098.86
000016.SH,20160701,2127.0939,9.43,0.388607739,110.6700984,6.999496219,2102.95
000016.SH,20160704,2163.2922,9.58,2.100804266,115.8870706,9.216597858,2102.95
000016.SH,20160705,2168.8551,9.61,2.339647644,118.4141988,9.220811831,2088.55
000016.SH,20160706,2167.101,9.6,2.222071879,112.0299771,8.765031309,2099.73
000016.SH,20160707,2166.8843,9.58,2.197030809,106.5729652,8.669915463,2097.9
000016.SH,20160708,2148.7606,9.45,1.338385589,77.49513848,8.786139726,2129.9
000016.SH,20160711,2155.716,9.48,1.678878439,89.78299331,6.77851831,2137.16
000016.SH,20160712,2200.3482,9.67,3.76652777,106.3355471,8.610118906,2152.14
000016.SH,20160713,2197.7879,9.68,3.632980673,104.837162,7.599834243,2152.43
000016.SH,20160714,2195.2265,9.64,3.482114785,108.6685884,7.589982103,2163.75
000016.SH,20160715,2192.3939,9.65,3.325218359,104.8969671,7.766183693,2161.74
000016.SH,20160718,2187.9829,9.65,3.090532007,111.5166005,7.672678269,2166.89
000016.SH,20160719,2175.3972,9.59,2.475261793,127.5573251,8.071785794,2163.78
000016.SH,20160720,2167.1205,9.55,2.0778448,120.2466717,8.140323097,2173.02
000016.SH,20160721,2177.7781,9.58,2.556100251,130.3661165,7.834450867,2165.17
000016.SH,20160722,2157.2315,9.55,1.587369892,126.7053704,7.351956595,2175.03
000016.SH,20160725,2159.5537,9.57,1.685414354,121.007657,6.734093948,2168.48
000016.SH,20160726,2182.505,9.66,2.733496164,129.6436275,7.25993489,2169.18
