ts_code,trade_date,close,pe_ttm,bias60,BR26,variance20,close_SPX
000001.SH,20161216,3122.982,15.77,-0.372291189,73.98291281,8.200456286,2258.07
000001.SH,20161219,3118.0846,15.75,-0.577176452,67.05769861,7.632216666,2262.53
000001.SH,20161220,3102.8759,15.69,-1.104098864,58.97652092,7.187025795,2270.76
000001.SH,20161221,3137.4297,15.86,-0.062010828,67.85807251,7.87692304,2265.18
000001.SH,20161222,3139.558,15.87,-0.04581995,68.35810699,7.904680727,2260.96
000001.SH,20161223,3110.1544,15.74,-1.021993505,64.65362881,7.980453537,2263.79
000001.SH,20161226,3122.569,15.81,-0.701771266,63.8005788,8.532471362,2263.79
000001.SH,20161227,3114.664,15.77,-1.014266492,57.55835423,8.375501002,2268.88
000001.SH,20161228,3102.2357,15.72,-1.46893787,50.46165049,8.176122607,2249.92
000001.SH,20161229,3096.0968,15.7,-1.714703699,49.75746585,7.956525994,2249.26
000001.SH,20161230,3103.6373,15.75,-1.526876346,49.24679383,7.603797792,2238.83
000001.SH,20170103,3135.9208,15.92,-0.548738519,54.6282484,8.283058559,2257.83
000001.SH,20170104,3158.794,16.05,0.127145995,53.06765312,8.671259147,2270.75
000001.SH,20170105,3165.4109,16.09,0.280247648,51.26485079,8.362347848,2269
000001.SH,20170106,3154.321,16.04,-0.120112341,56.83417635,8.354123113,2276.98
000001.SH,20170109,3171.2362,16.13,0.35860137,53.34504904,8.342221597,2268.9
000001.SH,20170110,3161.6713,16.09,-0.007649166,55.32781334,3.569844335,2268.9
000001.SH,20170111,3136.7535,15.98,-0.823353164,64.39533843,3.872443042,2275.32
000001.SH,20170112,3119.2886,15.92,-1.393514498,62.22589075,3.987191888,2270.44
000001.SH,20170113,3112.7644,15.91,-1.614429393,58.98773035,3.928233193,2274.64
000001.SH,20170116,3103.428,15.89,-1.915978205,50.3183675,3.8833172,2274.64
000001.SH,20170117,3108.7746,15.92,-1.736919655,44.11806419,4.117310827,2267.89
000001.SH,20170118,3113.0123,15.94,-1.59316133,51.1116779,3.915613095,2271.89
000001.SH,20170119,3101.2992,15.89,-1.955674507,51.32585598,3.45774348,2263.69
000001.SH,20170120,3123.1389,16.01,-1.270847689,54.69397654,3.858711145,2271.31
000001.SH,20170123,3136.7748,16.06,-0.856766551,65.747187,3.254428819,2265.2
000001.SH,20170124,3142.5533,16.12,-0.696129759,67.01394851,2.91835481,2280.07
000001.SH,20170125,3149.5547,16.18,-0.489099876,69.15773207,2.904330313,2298.37
000001.SH,20170126,3159.166,16.25,-0.215081633,78.77736658,2.68890351,2296.68
000001.SH,20170203,3140.17,16.15,-0.820951661,65.36610148,3.146010136,2297.42
000001.SH,20170206,3156.9838,16.23,-0.30652333,69.45524801,3.191030049,2292.56
000001.SH,20170207,3153.0878,16.2,-0.439905432,73.77213739,2.757682818,2293.08
000001.SH,20170208,3166.9818,16.26,-0.011243564,78.35189737,2.603573428,2294.67
000001.SH,20170209,3183.1794,16.35,0.471174361,83.29209371,2.733951048,2307.87
000001.SH,20170210,3196.699,16.43,0.884406618,93.21207972,2.629135905,2316.1
000001.SH,20170213,3216.8394,16.55,1.508913079,102.117746,2.525451403,2328.25
000001.SH,20170214,3217.928,16.5,1.539228787,97.39034242,2.440897299,2337.58
000001.SH,20170215,3212.9857,16.49,1.380079523,89.4570706,2.004830176,2349.25
000001.SH,20170216,3229.6184,16.58,1.891734074,87.61832265,1.747474136,2347.22
000001.SH,20170217,3202.0756,16.43,1.026169757,81.30339917,2.430412309,2351.16
000001.SH,20170220,3239.9613,16.63,2.196158005,92.44235046,3.074215166,2351.16
000001.SH,20170221,3253.3257,16.69,2.598729528,92.88423258,2.958244081,2365.38
000001.SH,20170222,3261.2184,16.73,2.840683395,95.39720393,2.95833691,2362.82
000001.SH,20170223,3251.375,16.68,2.524760647,94.83262502,3.028843866,2363.81
000001.SH,20170224,3253.4327,16.68,2.583339614,94.01138118,2.763425922,2367.34
000001.SH,20170227,3228.6602,16.57,1.820049059,87.20069099,3.258836234,2369.75
000001.SH,20170228,3241.7331,16.62,2.251273942,114.0892364,3.314857869,2363.64
000001.SH,20170301,3246.9335,16.64,2.434686761,130.5302201,3.292853797,2395.96
000001.SH,20170302,3230.0281,16.57,1.912073249,124.8436032,3.734091029,2381.92
000001.SH,20170303,3218.3118,16.51,1.571782246,118.7011898,3.31468437,2383.12
000001.SH,20170306,3233.8657,16.57,2.068029017,117.0217942,3.344268468,2375.31
000001.SH,20170307,3242.4063,16.62,2.317299732,108.3295338,3.312439998,2368.39
000001.SH,20170308,3240.6646,16.58,2.240282894,102.634114,3.215716844,2362.98
000001.SH,20170309,3216.7457,16.46,1.488594501,89.28819878,3.393199247,2364.87
000001.SH,20170310,3212.7601,16.43,1.364237456,84.73843327,3.331298342,2372.6
000001.SH,20170313,3237.0244,16.56,2.127564576,92.14923294,3.585792025,2373.47
000001.SH,20170314,3239.3278,16.57,2.153848835,89.03967742,3.584029288,2365.45
000001.SH,20170315,3241.7597,16.58,2.18396383,91.11845516,3.561912054,2385.26
000001.SH,20170316,3268.9354,16.68,2.971111103,104.1014825,3.611775121,2381.38
000001.SH,20170317,3237.4471,16.52,1.915149748,89.19162434,3.994480413,2378.25
000001.SH,20170320,3250.8082,16.54,2.267171614,84.32042569,3.043305286,2373.47
000001.SH,20170321,3261.6108,16.59,2.529853624,79.38646812,3.046103375,2344.02
000001.SH,20170322,3245.2198,16.53,1.938574031,72.42640706,3.022880084,2348.45
000001.SH,20170323,3248.5495,16.54,1.983837433,69.77891412,2.964953325,2345.96
000001.SH,20170324,3269.4451,16.6,2.570119483,71.8710159,3.205881554,2343.98
000001.SH,20170327,3266.9552,16.52,2.408044452,77.98863764,2.841786401,2341.59
000001.SH,20170328,3252.9479,16.4,1.899553214,63.18118856,2.901676302,2358.57
000001.SH,20170329,3241.3144,16.43,1.468037001,58.64543521,3.008139602,2361.13
000001.SH,20170330,3210.2369,16.27,0.438572397,51.4631584,3.155012604,2368.06
000001.SH,20170331,3222.5142,16.33,0.756273044,57.28888298,3.293620253,2362.72
000001.SH,20170405,3270.3054,16.61,2.161800376,73.78863055,3.84202103,2352.95
000001.SH,20170406,3281.0047,16.65,2.418672697,84.18963512,3.83720353,2357.49
