,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
24,000016.SH,20160205,1967.2595,1970.6883,1979.3913,1962.233,20455795.0,20020499.33,0.13,0.55,8.51,8.56,1.11,0.3647356004887534,0.08035845469875233,-3.1059943245629325,,46.65588737803174,-5.815199325865595,-72290.24656596461,,-47.84498259803481,23938685.440500002,,47286586.76654641,7329151.928040598,,,0.654,0.1982661687838107,,65238735439.297264,57.77542284497251,0.032719255383855915,-0.03925075708855349,-0.0888850429820144,,,,-0.0035402331825006243,1.0,871.02,-0.0046,1880.05,-1.85,8851.03,-0.25,241.0,0.0,2016-02-05
25,000016.SH,20160215,1948.2752,1916.4236,1958.2198,1914.4938,18893231.0,17604887.221,0.12,0.51,8.42,8.47,1.1,-0.7172795216007243,-0.29109352763301477,-3.6329409306232194,,48.44820305466277,-4.542053991286035,-182322.0400121576,,-45.00510049406897,21212623.782,,30444878.362884633,6785454.219429567,71.3347849522465,,0.608,0.18371602800890408,,61848441358.84031,54.912583948389425,-0.16441483384766634,0.1850096247201801,0.8065204548492839,,,,-0.00969698915456247,1.0,875.24,0.0048,1880.05,-1.85,8774.55,-0.86,124.0,1101.0,2016-02-15
26,000016.SH,20160216,2000.9027,1957.9147,2005.4156,1957.5363,30607291.0,26813072.574,0.19,0.83,8.64,8.7,1.13,1.6404809396137527,2.1446169897771443,-0.7094705416204294,,60.85905984540596,-2.9612280458501195,826774.989027475,,13.087268978210984,21713883.668166667,,74142695.5042189,6696738.580083224,89.94060558697616,52.096483936449154,0.632,0.1813284313062902,37.84412165052701,61128362873.066124,58.21972255660958,-0.26899108557085805,-0.08165371998162668,1.0336884948237777,,,,0.026653960389318335,1.0,876.21,0.0011,1895.58,1.65,8993.09,2.49,532.0,456.0,2016-02-16
27,000016.SH,20160217,2014.4428,1997.6793,2020.0843,1993.8945,34373548.0,30392064.24,0.21,0.93,8.72,8.77,1.14,1.686980645942108,2.5167062192048495,0.1887969620282753,,65.36170404386267,-2.469246680507427,232605.65207633429,,58.10418565338584,22869387.140333336,,75401477.9836441,6749735.9485020265,83.2866174279223,52.20824811520841,0.7,0.18272498748838809,31.078369312713882,61166900674.733864,54.72019491624195,-0.4614649264505422,0.3881304919351593,0.4069199638406814,,,,0.006744202371503563,1.0,872.68,-0.004,1926.82,1.65,9048.34,0.61,-44.0,872.0,2016-02-17
28,000016.SH,20160218,2009.2727,2022.5495,2034.161,2007.2157,30938607.0,28583893.67,0.19,0.84,8.69,8.75,1.13,1.068500666624549,1.7536164728343695,0.2377687345216625,,77.14517151527713,2.9544321683349657,-79404.43483960006,,-18.04654482424073,24401442.518166665,,56216510.24525003,6590203.586548214,79.78380963296117,51.18310937283967,0.732,0.17845167413056118,28.6007002601215,60449670200.668564,46.44344095873418,-0.5692997700426604,0.6816014950097464,-0.3586091029904363,,,,-0.002569815308888956,1.0,876.51,0.0044,1917.83,-0.47,9016.81,-0.35,529.0,317.0,2016-02-18
29,000016.SH,20160219,2004.1065,2005.4131,2013.7813,1993.0455,21639290.0,19326968.856,0.14,0.59,8.66,8.72,1.13,0.4363295623567138,1.3323878977879373,0.14696335563488566,,72.50862177242513,2.5924092715880716,-55638.49048364496,,-44.941925565147436,23790230.981833335,,42549018.60509788,6756866.901780408,91.80166732398875,63.835681540322184,0.74,0.18250883179783528,27.965985783666568,58989614159.93551,42.52405736002293,-0.7340782709614753,1.4896313531805205,-0.042614069010911526,,,,-0.002574490271671372,1.0,885.56,0.0103,1917.78,0.0,8998.68,-0.2,309.0,539.0,2016-02-19
30,000016.SH,20160222,2053.8631,2025.18,2064.6095,2016.364,39059284.0,36475281.132,0.24,1.06,8.88,8.94,1.16,1.8519818890146336,3.238556551369153,2.67287992971808,,90.37990687664484,7.379154455656231,969737.4716734851,,31.43948424973785,26532694.615500003,,69858443.5420428,7054372.531783647,101.58625603880118,64.84178265549518,0.85,0.19070782281860002,36.744473383306,60218614249.57164,42.526756850485114,-0.7340689207947999,1.4892355882243078,0.7810328482859714,,,,0.024524133323841783,-1.0,897.99,0.014,1945.5,1.45,9194.71,2.18,220.0,811.0,2016-02-22
31,000016.SH,20160223,2029.5223,2051.5671,2051.5671,2013.9809,26876191.0,25027930.0,0.17,0.73,8.79,8.85,1.15,0.36003712078936173,1.7087855434409591,1.707889736097583,,77.13281144759011,2.864518552713395,-318515.8688973956,,-29.72236110792606,27769868.412,,40332691.65623239,6878147.86121109,102.61016896710875,72.07005662381742,0.8300000000000001,0.1856964132522135,30.540112343291327,59048890529.45359,38.87943807165483,-0.6745286664890513,1.747959112478366,-0.6388227492273084,,,,-0.011922013682448225,-1.0,895.89,-0.0023,1921.27,-1.25,9096.06,-1.07,550.0,544.0,2016-02-23
32,000016.SH,20160224,2041.3881,2020.5916,2041.8831,2009.3485,26228917.0,24061303.022,0.16,0.71,8.84,8.9,1.15,0.6785042801732403,1.8490581274582758,2.424017176207417,,73.96932940206516,5.385197428553154,153349.92049044988,,-4.046960032427101,27311240.153333332,,29618043.060561292,6519466.091241426,105.07854470156907,68.15087519293293,0.7859999999999999,0.17604649505472308,36.92766950863614,57590429558.00344,38.57848658077726,-0.8708262186978993,2.07826159358559,0.5952967650643939,,,,0.005829572472949772,-1.0,895.68,-0.0002,1929.8,0.44,9153.77,0.63,125.0,893.0,2016-02-24
33,000016.SH,20160225,1932.6015,2038.1604,2038.1805,1925.1951,42459563.0,36399666.665,0.26,1.15,8.4,8.45,1.1,-3.960390922549527,-3.377820964470775,-2.7698597092569948,,69.16513268631587,-1.8792799266821578,-2262691.497151275,,62.32866808836337,28312507.224166665,,-32052396.69216645,7103041.440371838,94.45059542668662,57.51390979489042,0.8480000000000001,0.19196696535986,36.9366856317962,58275111579.033485,56.719698984377125,-1.17176677111531,1.688841167097749,-2.582695924866911,,,,-0.05476299489821644,1.0,894.21,-0.0016,1951.7,1.13,8731.2,-4.62,297.0,581.0,2016-02-25
