,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
10,399001.SZ,20160118,10155.962,9807.248,10273.586,9807.248,193371608.65,298935812.2009,1.7,2.73,36.05,30.81,3.21,0.016655061040927902,-4.03144469294266,,,,,3056621.140508666,,,329986835.4267667,,-107891247.81578577,,,,3.1,,,,,,,,,,,0.015683350741926776,1.0,850.76,0.0182,1880.33,-2.16,9302.18,-0.13,383.0,1093.0,2016-01-18
11,399001.SZ,20160119,10501.786,10137.38,10519.667,10105.546,231434581.9,360603672.2916,2.06,3.3,37.24,31.81,3.34,3.0002175779269202,0.15086831294322056,,,,,7880655.013378913,,,327115705.51601666,,290237224.31287605,,,,3.122,,,,,,,,,,,0.03348441573214926,-1.0,858.15,0.0087,1881.33,0.05,9545.43,2.61,600.0,988.0,2016-01-19
12,399001.SZ,20160120,10366.849,10434.355,10554.035,10297.817,229661636.24,361463102.0541,1.98,3.17,36.75,31.36,3.29,0.9087094507916547,0.16121582009110993,,,,-10.830766250721013,-2950912.559950932,,12.109209221975426,332923957.11765003,,198539336.69211173,,,,3.148,,,,,,,,,,,-0.012932219150176573,-1.0,850.83,-0.0085,1859.33,-1.17,9384.26,-1.69,-593.0,1209.0,2016-01-20
13,399001.SZ,20160121,9975.974,10207.421,10475.512,9975.974,210049960.53,332579246.4964,1.78,2.86,35.39,30.22,3.17,-2.1934489989665478,-2.87934859677523,,,,-13.010796943859724,-7919791.0881275255,,-28.625044926889814,336593920.61473334,,269803190.07917947,,,,3.054,,,,,,,,,,,-0.03843351666751447,1.0,848.37,-0.0029,1868.99,0.52,9174.4,-2.24,-162.0,1577.0,2016-01-21
14,399001.SZ,20160122,10111.567,10095.425,10171.919,9837.744,178117791.25,276383185.0078,1.5,2.4,35.76,30.59,3.2,-1.0844840808654883,-0.8086316352261074,,,,-13.759739971752378,2420969.1874659117,,-29.735805627610436,326951484.8322,,57299648.479298145,,,,2.892,,,,,,,,,,,0.01350041395696218,-1.0,856.74,0.0099,1906.9,2.03,9254.13,0.87,619.0,661.0,2016-01-22
15,399001.SZ,20160125,10192.531,10194.752,10291.495,10103.65,165141228.54,258879302.4833,1.37,2.2,36.04,30.73,3.22,-0.3637472204331571,0.005150114657036581,,,,-5.276278770993993,1322296.9721224073,,130.4447887301745,314807386.75568336,,197069941.24585307,,,,2.786,,,,,,,,,,,0.007975181082405252,-1.0,854.85,-0.0022,1877.08,-1.56,9263.61,0.1,250.0,485.0,2016-01-25
16,399001.SZ,20160126,9483.547,10079.222,10104.468,9463.307,213988374.77,310466750.46,1.89,3.03,33.55,28.6,3.0,-5.411345850591298,-6.205558260642778,,,,-12.906353878644202,-14884853.810886988,,-24.95568798913625,316729209.7988667,,-146335085.46709472,,,,2.732,,,,,,,,,,,-0.07209679475256592,-1.0,857.75,0.0034,1903.63,1.41,8796.0,-5.05,-235.0,897.0,2016-01-26
17,399001.SZ,20160127,9422.43,9525.611,9556.834,8986.518,221352705.61,302842683.4017,1.98,3.17,33.33,28.41,2.98,-4.216437469901275,-6.294372828127845,,,,-7.735933138140387,-1426514.0784103682,,-15.287658315216538,307102378.31721663,,-390032982.1291681,,,,2.732,,,,,,,,,,,-0.006465385300837182,-1.0,867.8,0.0117,1882.95,-1.09,8793.39,-0.03,4485.0,894.0,2016-01-27
18,399001.SZ,20160128,9082.588,9309.871,9430.556,9045.495,168852758.16,232012211.6692,1.5,2.4,32.14,27.41,2.88,-5.963065238295108,-8.52571274749649,,,,-11.765599632552092,-6090070.0815618485,,-22.41554000129113,285527229.91973335,,-429189479.6149392,,,,2.6399999999999997,,,,,,,,,,,-0.0367338430767188,1.0,859.03,-0.0101,1893.36,0.55,8643.35,-1.71,-342.0,711.0,2016-01-28
19,399001.SZ,20160129,9418.204,9077.106,9491.058,9056.043,180895269.4,248740754.6663,1.59,2.55,33.29,28.38,2.98,-1.0678308294449796,-4.588523976319746,-8.564432097620086,,,-5.618068507291595,6684366.475166594,,-13.42260403535575,271554147.94805,,-190027569.2688625,47971153.65174824,,,2.67,0.7350875350667608,,2200777941531.427,201.8601045833873,-0.10865270026980066,-0.3592558540932702,0.9448705284643263,,,,0.03628523820802136,-1.0,857.56,-0.0017,1940.24,2.48,8887.48,2.82,1694.0,750.0,2016-01-29
20,399001.SZ,20160201,9322.006,9389.624,9457.433,9196.152,153653484.1,217579084.8568,1.32,2.11,32.96,28.09,2.95,-0.25411537109630644,-4.758420327976976,-8.474720914842198,,37.36428603564754,-9.888271969045354,-1569424.2621472045,,-32.759318384807784,261753464.58955,,-238396002.9745071,49706996.75361578,,,2.652,0.7641181708004126,,2148325072815.504,159.0540199768357,0.09787487694540037,-0.2838724094330702,-0.21234346361479864,,,,-0.010266570647547721,1.0,859.25,0.002,1939.38,-0.04,8734.08,-1.73,-192.0,537.0,2016-02-01
21,399001.SZ,20160202,9610.93,9332.694,9646.952,9332.694,167598237.5,244316385.2281,1.45,2.32,33.96,28.93,3.04,2.557811077895026,-0.9045845145700745,-4.769810825253428,,48.24805219997234,-3.8707531812851066,5194499.249566043,,-24.21861579823098,259326311.71368334,,-88056247.52283427,46278207.92931542,,,2.5100000000000002,0.7162467966310291,,2061534346922.2117,158.21655753470466,0.0981240428935303,-0.26282748671336165,0.8492885336745795,,,,0.03052315090438313,1.0,861.98,0.0032,1903.03,-1.87,8859.86,1.44,96.0,1235.0,2016-02-02
22,399001.SZ,20160203,9638.874,9509.501,9679.543,9453.158,158729875.66,229311594.41900003,1.36,2.19,34.02,28.98,3.04,2.3830592581221706,0.1351452556716061,-3.4955898139509958,,45.51089793265996,-5.091472378490583,461510.76383273635,,-17.914591098376327,245800452.37351668,,201461009.29256195,45694256.123175226,,,2.3139999999999996,0.7023539368662919,,1990202112706.3872,157.07414302501707,0.11179156457097526,-0.21884736472339367,0.39034837217397206,,,,0.0029033043275389636,1.0,863.57,0.0018,1912.53,0.5,8779.94,-0.9,-2058.0,1585.0,2016-02-03
23,399001.SZ,20160204,9793.069,9667.907,9844.02,9667.907,179719335.12,266596487.1605,1.54,2.48,34.61,29.48,3.09,2.4742271234361346,1.9307099629494378,-1.4747475410059103,,56.67981903902404,-6.7485378201384085,2875006.238158975,,-22.345513948449376,239759419.66664997,,369232910.74936557,35080733.49267917,,,2.33,0.5767775727445137,,2037750811715.4817,129.8516716614888,0.19385329760224027,-0.0708266799174334,0.4085046940703126,,,,0.01587059374194315,-1.0,875.04,0.0133,1915.45,0.15,8872.83,1.06,519.0,0.0,2016-02-04
24,399001.SZ,20160205,9673.478,9802.249,9830.075,9670.022,147328675.31,217884450.5455,1.24,2.0,34.14,29.12,3.04,0.6849380797931941,1.1471663300994421,-2.0792261084029913,,65.34452308985131,-6.688348600428162,-1799148.316937036,,-35.849679675695064,237404792.8127,,350364961.7911316,31617742.29867385,,,2.2199999999999998,0.5228474669386959,,1953380533033.8464,130.21181510080817,0.20343108952821692,-0.08542911765754765,-0.42649370455561286,,,,-0.012286976683499248,1.0,871.02,-0.0046,1880.05,-1.85,8851.03,-0.25,241.0,0.0,2016-02-05
25,399001.SZ,20160215,9668.845,9385.524,9725.181,9385.524,137361527.28,199665163.4697,1.19,1.92,33.92,29.02,3.03,-0.08467672632761383,1.655360388643652,-1.8560915405720468,,66.37821154170447,-3.0786868530331057,-65787.7090213276,,-34.605306788247844,229225527.61326668,,323102388.4966805,30449801.755561825,80.05442941899767,,2.182,0.475383501695432,,1882485468168.084,122.67857595448253,0.035544939009991346,0.028024897470820976,0.9764531953524799,,,,-0.000479053119793578,1.0,875.24,0.0048,1880.05,-1.85,8774.55,-0.86,124.0,1101.0,2016-02-15
