,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
0,000905.SH,20160104,6983.4044,7615.5139,7624.1008,6983.2854,78014999.0,115089029.548,1.64,2.88,48.79,50.0,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,851.96,-0.0117,2012.66,-1.53,10101.04,-5.7,63.0,383.0,2016-01-04
1,000905.SH,20160105,6889.7414,6663.7264,7020.5409,6627.6416,113428225.0,156717298.586,2.38,4.19,48.16,49.36,3.41,,,,,,,-1521325.0199537424,,,,,,,,,,,,,,,,,,,,-0.013502982594058036,1.0,857.46,0.0065,2016.71,0.2,10178.16,0.76,1621.0,339.0,2016-01-05
2,000905.SH,20160106,7065.6068,6916.5318,7066.0848,6878.6539,100930427.0,136351475.197,2.12,3.73,49.42,50.55,3.49,,,,,,,2576318.7449278967,,,,,,,,,,,,,,,,,,,,0.025205348964310613,-1.0,849.22,-0.0096,1990.26,-1.31,10297.45,1.17,-497.0,1440.0,2016-01-06
3,000905.SH,20160107,6462.2428,6937.4161,6937.4161,6454.9732,28426742.0,34781544.776999995,0.6,1.05,45.2,46.24,3.19,,,,,,,-2427487.581121552,,,,,,,,,,,,,,,,,,,,-0.08926246042639262,1.0,849.41,0.0002,1943.09,-2.37,9750.36,-5.31,27.0,946.0,2016-01-07
4,000905.SH,20160108,6570.4316,6618.0809,6689.1413,6222.5929,111129605.0,138934000.171,2.33,4.1,46.02,47.08,3.25,-3.2947364854587797,,,,,,1860496.2675534242,,,,,,,,,3.19,,,,,,,,,,,0.016603082677621277,-1.0,847.98,-0.0017,1922.03,-1.08,9906.67,1.6,295.0,1645.0,2016-01-08
5,000905.SH,20160111,6128.6558,6435.8944,6529.8788,6128.2225,115600736.0,133119641.104,2.42,4.27,42.92,43.94,3.03,-7.468742396580458,,,,,,-7772641.241252513,,,119165498.2305,,-59204222.199150465,,,,3.468,,,,,,,,,,,-0.06960407919705343,-1.0,838.24,-0.0115,1923.67,0.09,9505.45,-4.05,-456.0,1472.0,2016-01-11
6,000905.SH,20160112,6136.6632,6126.6696,6205.5914,5994.6361,91905220.0,105727199.662,1.92,3.39,42.96,44.0,3.02,-5.191895183527824,,,,,,120078.83663950497,,,117605193.24949999,,22104723.90345796,,,,3.308,,,,,,,,,,,0.0013056979826803186,-1.0,829.26,-0.0107,1938.68,0.78,9566.0,0.64,-636.0,1185.0,2016-01-12
7,000905.SH,20160113,5924.044,6168.9869,6226.5409,5924.044,86123402.0,98456702.875,1.8,3.18,41.49,42.49,2.92,-5.130406384049748,,,,,,-2983948.8069865736,,,107895093.96433334,,-112882065.43888101,,,,3.1979999999999995,,,,,,,,,,,-0.035261817874463655,1.0,831.26,0.0024,1890.28,-2.5,9465.21,-1.05,200.0,1177.0,2016-01-13
8,000905.SH,20160114,6124.8202,5734.6075,6137.507,5726.8834,92251446.0,104255125.841,1.93,3.41,42.88,43.91,3.02,-0.8435067158422155,,,,,,3126562.660977066,,,102545702.40500002,,-105492171.95790684,,,,3.6700000000000004,,,,,,,,,,,0.03333007710600179,-1.0,836.13,0.0059,1921.84,1.67,9573.67,1.15,-23.0,1263.0,2016-01-14
9,000905.SH,20160115,5893.6815,6078.6153,6135.2708,5852.2411,88630539.0,102277307.351,1.85,3.27,41.29,42.28,2.9,-2.4478962923850807,-8.168486377982271,,,,,-3344742.6856317082,,,113794996.16733332,,-135405654.2056167,,,,3.504,,,,,,,,,,,-0.038468556047233676,1.0,835.54,-0.0007,1880.33,-2.16,9314.24,-2.71,-105.0,912.0,2016-01-15
